"都道府県コード又は市区町村コード","NO","都道府県名","市区町村名","名称","名称_カナ","名称_英語","住所","方書","緯度","経度","設置者","電話番号","内線番号","SSID","提供エリア","URL","備考"
"131032","0000000001","東京都","港区","虎ノ門駅９番口","トラノモンエキ９バングチ","Toranomon Station Exit 9","東京都港区虎ノ門一丁目1番15号",,"35.669865","139.751303","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000002","東京都","港区","内幸町駅Ａ４番口","ウチサイワイチョウエキＡ４バングチ","Uchisaiwaicho Station Exit A4","東京都港区西新橋一丁目3番12号",,"35.668889","139.754194","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000003","東京都","港区","新橋駅銀座口","シンバシエキギンザクチ","Shimbashi Station Ginza Exit","東京都港区新橋一丁目11番",,"35.667359","139.758966","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000004","東京都","港区","新橋駅前西口広場","シンバシエキマエニシグチヒロバ","West Exit Plaza front of Shimbashi Station","東京都港区新橋二丁目16番1号",,"35.667038","139.757554","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000005","東京都","港区","新橋駅前西口広場２","シンバシエキマエニシグチヒロバ２","West Exit Plaza2 in front of Shimbashi Station","東京都港区新橋二丁目16番1号",,"35.666869","139.75745","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000006","東京都","港区","神谷町駅４番口","カミヤチョウエキ４バングチ","Kamiyacho Station Exit 4","東京都港区虎ノ門五丁目1番8号",,"35.663448","139.745311","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000007","東京都","港区","御成門駅Ａ５番口","オナリモンエキＡ５バングチ","Onarimon Station Exit A5","東京都港区西新橋三丁目24号",,"35.661268","139.751402","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000008","東京都","港区","港区本庁舎（芝地区総合支所）","ミナトクホンチョウシャ（シバチクソウゴウシショ）","Minato City Hall (Shiba Regional City Office)","東京都港区芝公園一丁目5番25号",,"35.65802","139.751476","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000009","東京都","港区","大門駅Ａ６番口","ダイモンエキＡ６バングチ","Daimon Station Exit A6","東京都港区芝大門二丁目3番1号",,"35.656786","139.753784","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000010","東京都","港区","浜松町駅北口","ハママツチョウエキキタグチ","Hamamatsucho Station North Exit","東京都港区浜松町二丁目4番1号",,"35.656527","139.756391","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000011","東京都","港区","田町駅三田口","タマチエキミタクチ","Tamachi Station Mita Exit","東京都港区芝五丁目34番",,"35.646297","139.747229","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000012","東京都","港区","六本木一丁目駅３番口","ロッポンギイッチョウメエキ３バングチ","Roppongi-itchome Station Exit 3","東京都港区六本木一丁目4番",,"35.666436","139.739212","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000013","東京都","港区","乃木坂駅駅前郵便局付近","ノギザカエキエキマエユウビンキョクフキン","Near Post Office in front of Nogizaka Station","東京都港区六本木七丁目3番10号",,"35.666466","139.727938","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000014","東京都","港区","六本木駅６番口","ロッポンギエキ６バングチ","Roppongi Station Exit 6","東京都港区六本木四丁目8番5号",,"35.663946","139.733384","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000015","東京都","港区","六本木駅４番口","ロッポンギエキ４バングチ","Roppongi Station Exit 4","東京都港区六本木七丁目14番12号",,"35.663036","139.731505","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000016","東京都","港区","麻布地区総合支所","アザブチクソウゴウシショ","Azabu Regional City Office","東京都港区六本木五丁目16番45号",,"35.660606","139.735062","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000017","東京都","港区","麻布十番駅５番口","アザブジュウバンエキ５バングチ","Azabu-juban Station Exit 5","東京都港区麻布十番一丁目11番8号",,"35.655585","139.736938","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000018","東京都","港区","広尾駅１番口","ヒロオエキ１バングチ","Hiro-o Station Exit 1","東京都港区未南麻布五丁目15番",,"35.651159","139.722362","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000019","東京都","港区","赤坂見附駅豊川稲荷前歩道橋付近","アカサカミツケエキトヨカワイナリマエホドウキョウフキン","Near Akasaka-mitsuke Station Toyokawa-inari Footbridge","東京都港区元赤坂一丁目3番9号",,"35.677096","139.734456","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000020","東京都","港区","赤坂見附駅１番口","アカサカミツケエキ１バングチ","Akasaka-mitsuke Station Exit 1","東京都港区赤坂三丁目3番3号",,"35.675371","139.738006","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000021","東京都","港区","赤坂地区総合支所","アカサカチクソウゴウシショ","Akasaka Regional City Office","東京都港区赤坂四丁目18番13号",,"35.674754","139.731628","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000022","東京都","港区","青山一丁目駅ＮＴＴビル付近","アオヤマイッチョウメエキＮＴＴビルフキン","Near Aoyama-itchome Station NTT Building","東京都港区赤坂八丁目4番23号",,"35.673428","139.726761","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000023","東京都","港区","赤坂駅氷川公園付近","アカサカエキヒカワコウエンフキン","Near Akasaka Station Hikawa Park","東京都港区赤坂六丁目5番1号",,"35.671436","139.7374","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000024","東京都","港区","外苑いちょう並木入口","ガイエンイチョウナミキイリグチ","Gaien Icho Namiki Entrance","東京都港区北青山二丁目1番",,"35.66957","139.716135","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000025","東京都","港区","外苑前駅外苑前歩道橋付近","ガイエンマエエキガイエンマエホドウキョウフキン","Near Gaiemmae Station Gaiemmae Footbridge","東京都港区北青山二丁目14番",,"35.670247","139.716667","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000026","東京都","港区","表参道駅Ｂ５番口","オモテサンドウエキＢ５バングチ","Omote-sando Station Exit B5","東京都港区北青山三丁目6番12号",,"35.665303","139.712018","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000027","東京都","港区","表参道駅Ｂ３番口","オモテサンドウエキＢ３バングチ","Omote-sando Station Exit B3","東京都港区南青山五丁目1番22号",,"35.664156","139.711909","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000028","東京都","港区","高輪地区総合支所","タカナワチクソウゴウシショ","Takanawa Regional City Office","東京都港区高輪一丁目16番25号",,"35.641957","139.73408","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000029","東京都","港区","白金台駅１番口","シロガネダイエキ１バングチ","Shirokanedai Station Exit 1 ","東京都港区白金台三丁目14番",,"35.637516","139.725505","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000030","東京都","港区","泉岳寺交差点付近","センガクジコウサテンフキン","Near Sengakuji intersection","東京都港区高輪二丁目15番",,"35.636808","139.738942","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000031","東京都","港区","品川駅高輪口","シナガワエキタカナワクチ","Shinagawa Station Takanawa Exit","東京都港区高輪三丁目26番",,"35.628657","139.737904","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000032","東京都","港区","芝浦港南地区総合支所","シバウラコウナンチクソウゴウシショ","Shibaura-konan Regional City Office","東京都港区芝浦一丁目16番1号",,"35.646566","139.751907","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000033","東京都","港区","田町駅芝浦口","タマチエキシバウラクチ","Tamachi Station Shibaura Exit","東京都港区芝浦三丁目3番",,"35.645036","139.748183","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000034","東京都","港区","品川駅こうなん星の公園付近","シナガワエキコウナンホシノコウエンフキン","Near Shinagawa Station Konan-Hoshino Park","東京都港南一丁目9番24号",,"35.629844","139.742412","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000035","東京都","港区","品川駅港南口","シナガワエキコウミナミグチ","Shinagawa Station Konan Exit","東京都港区港南二丁目14番",,"35.628948","139.741558","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000036","東京都","港区","お台場学園前","オダイバガクエンマエ","In front of Odaiba Gakuen","東京都港区台場一丁目1番",,"35.634165","139.776363","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000037","東京都","港区","お台場レインボー公園前","オダイバレインボーコウエンマエ","In front of Odaiba Rainbow Park","東京都港区台場一丁目3番1号",,"35.632065","139.778071","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000038","東京都","港区","お台場海浜公園東口広場","オダイバカイヒンコウエンヒガシグチヒロバ","Odaiba-kaihinkoen East Exit Plaza","東京都港区台場一丁目4番",,"35.631181","139.777459","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000039","東京都","港区","芝浦港南地区総合支所台場分室","シバウラコウナンチクソウゴウシショダイバブンシツ","Shibaura-konan Regional City Office, Daiba Annex","東京都港区台場一丁目5番1号",,"35.630002","139.777079","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000040","東京都","港区","台場区民センター","ダイバクミンセンター","Daiba Civic Center","東京都港区台場一丁目5番1号",,"35.630002","139.777079","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000041","東京都","港区","お台場海浜公園中央駐車場付近","オダイバカイヒンコウエンチュウオウチュウシャジョウフキン","Odaiba-kaihinkoen Central Plaza","東京都港区台場一丁目4番",,"35.626501","139.769378","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",
"131032","0000000042","東京都","港区","台場交差点付近","ダイバコウサテンフキン","Near Daiba Intersection","東京都港区台場一丁目6番",,"35.628485","139.775005","港区総務部情報政策課",,,"Minato_City_Wi-Fi",,"https://www.city.minato.tokyo.jp/jouhokanri/kuse/minatocitywi-fi_01.html",

"公衆無線LANアクセスポイント一覧","Ver201911",,,,,,,,,,,,,,,,
